Brand,price,Stockout_rate,Lost_revenue,name
&,85.59821428571429,0.30076176303854874,26804.0,224
4th,41.75,0.30833333333333335,2850.0,40
AFRMPart,56.84615384615385,0.010989010989010988,55.0,13
ASOS,46.56822873658134,0.2786498557659614,471999.0,4844
ASYOU,25.023333333333333,0.3664069264069264,2536.9,30
AX,44.785714285714285,0.17857142857142858,615.0,14
Abercrombie,57.63265306122449,0.3333956293139967,5702.0,49
Accessorize,41.36363636363637,0.4,920.0,11
All,117.11475409836065,0.3459146500130107,14571.0,61
Amy,100.0,0.0,0.0,12
Anaya,80.71428571428571,0.05714285714285714,1080.0,42
Ann,25.327272727272728,0.41494763768926446,4901.0,55
Annorlunda,49.625,0.24479166666666666,2413.0,32
Aria,56.72727272727273,0.09595959595959595,836.0,33
Armani,135.0,0.08263888888888889,500.0,12
As,28.873408071748877,0.19722011919321336,9061.48,223
Band,87.91666666666667,0.16666666666666666,950.0,12
Barbour,160.55,0.24438244047619048,10043.6,32
Berghaus,91.29411764705883,0.15294117647058825,842.0,17
Bershka,32.490753623188404,0.33971704623878535,15565.46,345
Bluebella,32.30769230769231,0.20161287987374943,1499.0,13
Bye,29.285714285714285,0.2619047619047619,575.0,14
COLLUSION,20.8275,0.5383771008403361,8515.07,80
Calvin,60.0,0.2438679245283019,3533.0,53
Carhartt,94.1304347826087,0.18478260869565216,1965.0,23
Champion,33.06666666666667,0.05333333333333334,68.0,15
Chelsea,38.5,0.38333333333333336,1292.0,18
Closet,66.83116883116882,0.12269635126777984,3949.0,77
Collective,52.83050847457627,0.1606133979015335,2781.0,59
Collusion,24.636666666666667,0.20706704670172163,13251.4,300
Columbia,78.48,0.28400000000000003,2144.0,25
Cotton,26.0836,0.3331746031746032,3259.77,75
Daisy,25.496644295302012,0.2041387024608501,4383.0,149
Damson,65.73333333333333,0.3022222222222222,1567.0,15
Dickies,38.57627118644068,0.23983050847457626,2889.0,59
Dorina,18.633333333333333,0.4025985434600995,4361.0,30
Dr,54.705882352941174,0.09923273657289003,595.0,17
Edited,66.97560975609755,0.14146341463414633,1513.0,41
Envii,61.65217391304348,0.034782608695652174,283.0,23
Esm,25.580645161290324,0.48310291858678955,2655.0,31
Esmee,25.866666666666667,0.3428571428571428,938.0,15
Extro,43.66346153846154,0.19198717948717947,4181.0,104
Fashionkilla,21.433333333333334,0.1706349206349206,883.5,30
Femme,35.5,0.25,1035.0,24
Flounce,47.98701298701299,0.20238095238095238,3641.0,77
Forever,112.57142857142857,0.16666666666666666,10729.0,98
Fred,102.66666666666667,0.2724867724867725,5069.0,36
Free,92.77530612244898,0.24863945578231292,5425.98,49
French,78.45454545454545,0.3348484848484849,3063.0,22
Gilly,24.4,0.18400000000000002,561.0,25
